Date,WWE NXT,AEW Dynamite,
10/02/2019,"891000","1409000",
10/09/2019,"790000","1140000",
10/16/2019,"712000","1014000",
10/23/2019,"698000","963000",
10/30/2019,"580000","759000",
11/06/2019,"813000","822000",
11/13/2019,"750000","957000",
11/20/2019,"916000","893000",
11/27/2019,"810000","663000",
12/04/2019,"845000","851000",
12/11/2019,"778000","778000",
12/18/2019,"795000","683000",
01/01/2020,"548000","967000",
01/08/2020,"721000","947000",
01/15/2020,"700000","940000",
01/22/2020,"769000","871000",
01/29/2020,"712000","828000",
02/05/2020,"770000","928000",
02/12/2020,"757000","817000",
02/19/2020,"794000","893000",
02/26/2020,"717000","865000",
03/04/2020,"718000","906000",
03/11/2020,"697000","766000",
03/18/2020,"542000","932000",
03/25/2020,"669000","819000",
04/01/2020,"590000","685000",
04/08/2020,"693000","692000",
04/15/2020,"692000","683000",
04/22/2020,"665000","731000",
04/29/2020,"637000","693000",
05/06/2020,"663000","732000",
05/13/2020,"604000","654000",
05/20/2020,"592000","701000",
05/27/2020,"731000","827000",
06/03/2020,"715000","730000",
06/10/2020,"673000","677000",
06/17/2020,"746000","772000",
06/24/2020,"786000","633000",